 2THETA, PSD
  44.6202,  328
  44.6671,  319
  44.7140,  331
  44.7609,  317
  44.8078,  368
  44.8547,  363
  44.9016,  362
  44.9485,  422
  44.9955,  425
  45.0424,  445
  45.0893,  422
  45.1362,  464
  45.1831,  523
  45.2300,  551
  45.2769,  573
  45.3238,  640
  45.3707,  682
  45.4177,  745
  45.4646,  828
  45.5115,  936
  45.5584, 1126
  45.6053, 1286
  45.6522, 1599
  45.6991, 1909
  45.7460, 2458
  45.7929, 3048
  45.8399, 4084
  45.8868, 5163
  45.9337, 7141
  45.9806, 9315
  46.0275, 11391
  46.0744, 13080
  46.1213, 13474
  46.1682, 11989
  46.2151, 10115
  46.2620, 7867
  46.3090, 5815
  46.3559, 4192
  46.4028, 3138
  46.4497, 2342
  46.4966, 1859
  46.5435, 1437
  46.5904, 1197
  46.6373, 1054
  46.6842,  899
  46.7312,  784
  46.7781,  668
  46.8250,  625
  46.8719,  546
  46.9188,  555
  46.9657,  521
  47.0126,  462
  47.0595,  432
  47.1064,  418
  47.1534,  355
  47.2003,  385
  47.2472,  370
  47.2941,  315
  47.3410,  334
  47.3879,  379
  47.4348,  332
  47.4817,  295
  47.5286,  293
  47.5756,  279
  47.6225,  307
  47.6694,  281
  47.7163,  260
  47.7632,  280
  47.8101,  243
  47.8570,  255
  47.9039,  257
  47.9508,  265
  47.9977,  252
  48.0447,  243
  48.0916,  256
  48.1385,  256
  48.1854,  266
  48.2323,  258
  48.2792,  250
  48.3261,  236
  48.3730,  250
  48.4199,  222
  48.4669,  258
  48.5138,  225
  48.5607,  245
  48.6076,  230
  48.6545,  204
  48.7014,  225
  48.7483,  237
  48.7952,  226
  48.8421,  213
  48.8891,  260
  48.9360,  233
  48.9829,  238
  49.0298,  205
  49.0767,  218
  49.1236,  208
  49.1705,  194
  49.2174,  231
  49.2643,  256
  49.3113,  225
  49.3582,  217
  49.4051,  204
  49.4520,  232
  49.4989,  218
  49.5458,  227
  49.5927,  210
  49.6396,  197
  49.6865,  224
  49.7334,  239
  49.7804,  216
  49.8273,  189
  49.8742,  188
  49.9211,  211
  49.9680,  212
  50.0149,  205
  50.0618,  208
  50.1087,  219
  50.1556,  209
  50.2026,  206
  50.2495,  238
  50.2964,  223
  50.3433,  203
  50.3902,  220
  50.4371,  218
  50.4840,  223
  50.5309,  225
  50.5778,  204
  50.6248,  203
  50.6717,  207
  50.7186,  182
  50.7655,  206
  50.8124,  263
  50.8593,  210
  50.9062,  203
  50.9531,  219
  51.0000,  210
  51.0470,  216
  51.0939,  232
  51.1408,  229
  51.1877,  222
  51.2346,  249
  51.2815,  256
  51.3284,  243
  51.3753,  236
  51.4222,  254
  51.4691,  238
  51.5161,  246
  51.5630,  291
  51.6099,  351
  51.6568,  374
  51.7037,  427
  51.7506,  435
  51.7975,  548
  51.8444,  621
  51.8913,  760
  51.9383,  789
  51.9852,  888
  52.0321,  796
  52.0790,  730
  52.1259,  634
  52.1728,  515
  52.2197,  432
  52.2666,  344
  52.3135,  335
